== crowd+sea at d = 0.158 ==
  k=  8 pairs,  16 mark-2 atoms: F1-T =   18.2301
  k=  8 pairs,  32 mark-2 atoms: F1-T =   17.4663
  k=  8 pairs,  64 mark-2 atoms: F1-T =   73.2646
  k=  8 pairs, 130 mark-2 atoms: F1-T =  682.9828
  k= 16 pairs,  16 mark-2 atoms: F1-T =   39.1593
  k= 16 pairs,  32 mark-2 atoms: F1-T =   34.9554
  k= 16 pairs,  64 mark-2 atoms: F1-T =  151.6658
  k= 16 pairs, 130 mark-2 atoms: F1-T =  835.1684
  k= 32 pairs,  16 mark-2 atoms: F1-T =   73.5358
  k= 32 pairs,  32 mark-2 atoms: F1-T =   65.4424
  k= 32 pairs,  64 mark-2 atoms: F1-T =  317.6018
  k= 32 pairs, 130 mark-2 atoms: F1-T = 1092.1123
  k= 65 pairs,  16 mark-2 atoms: F1-T =  260.5572
  k= 65 pairs,  32 mark-2 atoms: F1-T =  474.2990
  k= 65 pairs,  64 mark-2 atoms: F1-T =  849.2190
  k= 65 pairs, 130 mark-2 atoms: F1-T = 1768.5931
  min F1-T at d = 0.158: 17.4663
== crowd+sea at d = 0.159 ==
  k=  8 pairs,  16 mark-2 atoms: F1-T =   18.2670
  k=  8 pairs,  32 mark-2 atoms: F1-T =   17.5007
  k=  8 pairs,  64 mark-2 atoms: F1-T =   73.2933
  k=  8 pairs, 130 mark-2 atoms: F1-T =  687.2419
  k= 16 pairs,  16 mark-2 atoms: F1-T =   39.2717
  k= 16 pairs,  32 mark-2 atoms: F1-T =   35.0026
  k= 16 pairs,  64 mark-2 atoms: F1-T =  151.7123
  k= 16 pairs, 130 mark-2 atoms: F1-T =  842.4686
  k= 32 pairs,  16 mark-2 atoms: F1-T =   73.6740
  k= 32 pairs,  32 mark-2 atoms: F1-T =   65.4754
  k= 32 pairs,  64 mark-2 atoms: F1-T =  317.5473
  k= 32 pairs, 130 mark-2 atoms: F1-T = 1092.0846
  k= 65 pairs,  16 mark-2 atoms: F1-T =  260.0419
  k= 65 pairs,  32 mark-2 atoms: F1-T =  480.6172
  k= 65 pairs,  64 mark-2 atoms: F1-T =  847.1601
  k= 65 pairs, 130 mark-2 atoms: F1-T = 1770.6587
  min F1-T at d = 0.159: 17.5007
