Z = 0.22199690808403971891
k= 1 deg= 1 roots_in=(1) ||B^(k)||_1 = 3.31427535947642
k= 2 deg= 4 roots_in=(2) ||B^(k)||_1 = 28.7726440417393
k= 3 deg= 7 roots_in=(5) ||B^(k)||_1 = 642.301196306599
k= 4 deg=10 roots_in=(6) ||B^(k)||_1 = 38779.9672464873
k= 5 deg=13 roots_in=(9) ||B^(k)||_1 = 4291724.35138168
k= 6 deg=16 roots_in=(10) ||B^(k)||_1 = 766365507.976668
k= 7 deg=19 roots_in=(11) ||B^(k)||_1 = 201117898543.534
k= 8 deg=22 roots_in=(12) ||B^(k)||_1 = 72865076555777.3
k= 9 deg=25 roots_in=(15) ||B^(k)||_1 = 3.48429007153354e+16
k=10 deg=28 roots_in=(16) ||B^(k)||_1 = 2.12573067064229e+19
k=11 deg=31 roots_in=(19) ||B^(k)||_1 = 1.61134800942483e+22
k=12 deg=34 roots_in=(20) ||B^(k)||_1 = 1.48562110880558e+25
k=13 deg=37 roots_in=(23) ||B^(k)||_1 = 1.63707485618622e+28

 k | checker (40+ digits)        | builder DERIV_NORMS_RECORD  | rel diff
 1 | 3.3142753594764             | 3.31427535948               | 1.080e-12
 2 | 28.772644041739             | 28.7726440417               | 1.366e-12
 3 | 642.3011963066              | 642.301196307               | 6.249e-13
 4 | 38779.967246487             | 38779.9672465               | 3.276e-13
 5 | 4291724.3513817             | 4291724.35138               | 3.904e-13
 6 | 766365507.97667             | 766365507.977               | 4.335e-13
 7 | 201117898543.53             | 201117898544                | 2.318e-12
 8 | 72865076555777.0            | 7.28650765558e+13           | 3.115e-13
 9 | 3.4842900715335e+16         | 3.48429007153e+16           | 1.017e-12
10 | 2.1257306706423e+19         | 2.12573067064e+19           | 1.078e-12
11 | 1.6113480094248e+22         | 1.61134800942e+22           | 2.994e-12
12 | 1.4856211088056e+25         | 1.48562110881e+25           | 2.975e-12
13 | 1.6370748561862e+28         | 1.63707485619e+28           | 2.306e-12
DONE
