=== own axioms probe (CHECK-O-B) 2026-09-24 23:16:59 IST: every theorem and def line of Clause5/ZEnclosure/Clause5Cert (grep-generated) + the five roots ===
'Zeta23.Separation.Gmaj_antitone' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.norm_paperFT_ftest_le_strip' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.norm_wsum_le_strip' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.shell_count_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.out_finset_sum_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.out_window_summable_tsum_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.out_window_norm_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.pow16_mul_exp_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.crudeM' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.crudeM_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.crude_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.crude_shell_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.crude_series_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.C1_nonneg_of_count' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.clause5_summable' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.gammaPoly' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.gammaPoly_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.gammaPoly_succ' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.gammaPoly_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.gammaPoly_mono' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.gammaPoly_mul_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.hasDerivAt_exp_mul_gammaPoly' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.tendsto_exp_mul_gammaPoly' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.integral_pow_mul_exp_Ioi' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.GammaM' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.GammaM_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.GammaM_mono' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.hasDerivAt_exp_mul_GammaM' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.tendsto_exp_mul_GammaM' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.phi' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.Phi' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.phi_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.phi_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.hasDerivAt_Phi' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.tendsto_Phi' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.integral_phi_Ioi' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.integrableOn_phi_Ioi' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.gpow_antitone' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.phi_antitoneOn' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.sum_phi_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.five_thirds_le_log_six' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.absorb_once' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.exp_neg_s0_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.pow_mul_Gmaj_sq_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.Prelax' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.P2' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.P3' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.F13' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.HR0' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.Prelax_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.phi_tail_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.Prelax_mul_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.slope_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.F13_le_F13_50' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.shell_weight_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.shell_series_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.clause5_out_window' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.hL8_of_hL2' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.clause6_assembly_c' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.Braw_antitoneOn' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.Braw_even' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.Z_eq_two_mul' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.sixteen_mul_Z' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.g_antitoneOn' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.riemann_bracket' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.cellx' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.qcell' does not depend on any axioms
'Zeta23.Separation.Braw_cell' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.Braw_sixteen' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.exp_neg_le_inv_taylor' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.one_div_pow_le_exp_neg' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.taylorT' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.exp_le_taylorT' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.cell_lo' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.cellx_le_qcell' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.Z_enclosure' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.eLo' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.eHi' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.cLo' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.cHi' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.rLo' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.rHi' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.ZLo' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.ZHi' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.CBHi' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.b1Lo' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.eLo_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.le_eHi' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.cB_bounds' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.sqrt73_bounds' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.CB_le_CBHi' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.b1Lo_le_b1sym' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.gammaPoly_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.PrelaxQ' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.Prelax_50_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.ELo' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.cert_numeric' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.exp_ELo_ge' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.F13_50_neg' depends on axioms: [propext, Classical.choice, Quot.sound]
'separation_clause5_summable' depends on axioms: [propext, Classical.choice, Quot.sound]
'separation_clause5_out_window' depends on axioms: [propext, Classical.choice, Quot.sound]
'separation_clause6_assembly_c' depends on axioms: [propext, Classical.choice, Quot.sound]
'separation_clause5_out_window_c' depends on axioms: [propext, Classical.choice, Quot.sound]
'separation_clause6_assembly_d' depends on axioms: [propext, Classical.choice, Quot.sound]
exit=0
