# print-axioms-separation6.log — 2026-09-17 14:02:03 IST; lake env lean comparator/PrintAxioms/Separation6.lean, then the scratch probe axioms_separation6_probe.lean.txt on every theorem of Zeta23/Separation/Assembly.lean
'separation_clause6_assembly' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.B_even' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.hasCompactSupport_B' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.B_continuous' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.integrable_B_mul_exp' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.integral_B_exp_symm' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.edge_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.edge_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.paperFT_Bc_I_mul' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.paperFT_Bc_neg_I_mul' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.edge_neg' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.Gmaj_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.gammaOf_mk' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.paperFT_ftest_sub_I' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.paperFT_ftest_add_I' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.wsum_of_gammaOf_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.gammaOf_orbit_plus' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.gammaOf_orbit_minus' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.wsum_orbit_plus' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.norm_paperFT_ftest_reflected' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.norm_wsum_reflected' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.rstar_exp' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.W_decomp' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.wsum_real' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.tsum_inWindow_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.re_tsum_offline_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.log25_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.log_1875_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.edge_sq_ge' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.absorb' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.Separation.clause6_assembly' depends on axioms: [propext, Classical.choice, Quot.sound]
