ACCEPT checkPrism  [results/d1-m2a/gomila/spot-arb/seam-0000//instance02-prism-0000.json: 180 rows, K=1000000000000, A=1000000]
ACCEPT checkPrism  [results/d1-m2a/gomila/spot-arb/seam-0049//instance02-prism-0000.json: 176 rows, K=1000000000000, A=1000000]
ACCEPT checkPrism  [results/d1-m2a/gomila/spot-arb/seam-0099//instance02-prism-0000.json: 176 rows, K=1000000000000, A=1000000]
ACCEPT checkPrism  [results/d1-m2a/gomila/spot-arb/seam-0149//instance02-prism-0000.json: 169 rows, K=1000000000000, A=1000000]
ACCEPT checkPrism  [results/d1-m2a/gomila/spot-arb/seam-0199//instance02-prism-0000.json: 160 rows, K=1000000000000, A=1000000]
ACCEPT checkPrism  [results/d1-m2a/gomila/spot-arb/seam-0249//instance02-prism-0000.json: 155 rows, K=1000000000000, A=1000000]
ACCEPT checkPrism  [results/d1-m2a/gomila/spot-arb/seam-0299//instance02-prism-0000.json: 142 rows, K=1000000000000, A=1000000]
ACCEPT checkPrism  [results/d1-m2a/gomila/spot-arb/seam-0349//instance02-prism-0000.json: 134 rows, K=1000000000000, A=1000000]
ACCEPT checkPrism  [results/d1-m2a/gomila/spot-arb/seam-0399//instance02-prism-0000.json: 130 rows, K=1000000000000, A=1000000]
ACCEPT checkPrism  [results/d1-m2a/gomila/spot-arb/seam-0449//instance02-prism-0000.json: 126 rows, K=1000000000000, A=1000000]
ACCEPT checkPrism  [results/d1-m2a/gomila/spot-arb/seam-0499//instance02-prism-0000.json: 122 rows, K=1000000000000, A=1000000]
ACCEPT checkPrism  [results/d1-m2a/gomila/spot-arb/seam-0549//instance02-prism-0000.json: 118 rows, K=1000000000000, A=1000000]
ACCEPT checkPrism  [results/d1-m2a/gomila/spot-arb/seam-0599//instance02-prism-0000.json: 115 rows, K=1000000000000, A=1000000]
ACCEPT checkPrism  [results/d1-m2a/gomila/spot-arb/seam-0649//instance02-prism-0000.json: 114 rows, K=1000000000000, A=1000000]
ACCEPT checkPrism  [results/d1-m2a/gomila/spot-arb/seam-0699//instance02-prism-0000.json: 106 rows, K=1000000000000, A=1000000]
ACCEPT checkPrism  [results/d1-m2a/gomila/spot-arb/seam-0749//instance02-prism-0000.json: 95 rows, K=1000000000000, A=1000000]
ACCEPT checkPrism  [results/d1-m2a/gomila/spot-arb/seam-0799//instance02-prism-0000.json: 85 rows, K=1000000000000, A=1000000]
ACCEPT checkPrism  [results/d1-m2a/gomila/spot-arb/seam-0849//instance02-prism-0000.json: 80 rows, K=1000000000000, A=1000000]
ACCEPT checkPrism  [results/d1-m2a/gomila/spot-arb/seam-0872//instance02-prism-0000.json: 66 rows, K=1000000000000, A=1000000]
ACCEPT checkPrism  [results/d1-m2a/gomila/spot-arb/seam-0873//instance02-prism-0000.json: 66 rows, K=1000000000000, A=1000000]
ACCEPT checkPrism  [results/d1-m2a/gomila/spot-arb/seam-0874//instance02-prism-0000.json: 65 rows, K=1000000000000, A=1000000]
ACCEPT checkPrism  [results/d1-m2a/gomila/spot-arb/seam-0875//instance02-prism-0000.json: 65 rows, K=1000000000000, A=1000000]
ACCEPT checkPrism  [results/d1-m2a/gomila/spot-arb/seam-0876//instance02-prism-0000.json: 65 rows, K=1000000000000, A=1000000]
ACCEPT checkPrism  [results/d1-m2a/gomila/spot-arb/seam-0877//instance02-prism-0000.json: 64 rows, K=1000000000000, A=1000000]
ACCEPT checkPrism  [results/d1-m2a/gomila/spot-arb/seam-0878//instance02-prism-0000.json: 64 rows, K=1000000000000, A=1000000]
ACCEPT checkPrism  [results/d1-m2a/gomila/spot-arb/seam-0879//instance02-prism-0000.json: 64 rows, K=1000000000000, A=1000000]
ACCEPT checkPrism  [results/d1-m2a/gomila/spot-arb/seam-0880//instance02-prism-0000.json: 64 rows, K=1000000000000, A=1000000]
ACCEPT checkPrism  [results/d1-m2a/gomila/spot-arb/seam-0881//instance02-prism-0000.json: 64 rows, K=1000000000000, A=1000000]
ACCEPT checkPrism  [results/d1-m2a/gomila/spot-arb/seam-0882//instance02-prism-0000.json: 64 rows, K=1000000000000, A=1000000]
