ACCEPT checkPrism  [gomila/spot-mp/prism-0000.json: 182 rows, K=1000000000000000000000000, A=1000000000000]
ACCEPT checkPrism  [gomila/spot-mp/prism-0049.json: 182 rows, K=1000000000000000000000000, A=1000000000000]
ACCEPT checkPrism  [gomila/spot-mp/prism-0099.json: 182 rows, K=1000000000000000000000000, A=1000000000000]
ACCEPT checkPrism  [gomila/spot-mp/prism-0149.json: 182 rows, K=1000000000000000000000000, A=1000000000000]
ACCEPT checkPrism  [gomila/spot-mp/prism-0199.json: 182 rows, K=1000000000000000000000000, A=1000000000000]
ACCEPT checkPrism  [gomila/spot-mp/prism-0249.json: 182 rows, K=1000000000000000000000000, A=1000000000000]
ACCEPT checkPrism  [gomila/spot-mp/prism-0299.json: 182 rows, K=1000000000000000000000000, A=1000000000000]
ACCEPT checkPrism  [gomila/spot-mp/prism-0349.json: 182 rows, K=1000000000000000000000000, A=1000000000000]
ACCEPT checkPrism  [gomila/spot-mp/prism-0399.json: 182 rows, K=1000000000000000000000000, A=1000000000000]
ACCEPT checkPrism  [gomila/spot-mp/prism-0449.json: 182 rows, K=1000000000000000000000000, A=1000000000000]
ACCEPT checkPrism  [gomila/spot-mp/prism-0499.json: 182 rows, K=1000000000000000000000000, A=1000000000000]
ACCEPT checkPrism  [gomila/spot-mp/prism-0549.json: 182 rows, K=1000000000000000000000000, A=1000000000000]
ACCEPT checkPrism  [gomila/spot-mp/prism-0599.json: 182 rows, K=1000000000000000000000000, A=1000000000000]
ACCEPT checkPrism  [gomila/spot-mp/prism-0649.json: 182 rows, K=1000000000000000000000000, A=1000000000000]
ACCEPT checkPrism  [gomila/spot-mp/prism-0699.json: 182 rows, K=1000000000000000000000000, A=1000000000000]
ACCEPT checkPrism  [gomila/spot-mp/prism-0749.json: 182 rows, K=1000000000000000000000000, A=1000000000000]
ACCEPT checkPrism  [gomila/spot-mp/prism-0799.json: 182 rows, K=1000000000000000000000000, A=1000000000000]
ACCEPT checkPrism  [gomila/spot-mp/prism-0849.json: 182 rows, K=1000000000000000000000000, A=1000000000000]
ACCEPT checkPrism  [gomila/spot-mp/prism-0872.json: 182 rows, K=1000000000000000000000000, A=1000000000000]
ACCEPT checkPrism  [gomila/spot-mp/prism-0873.json: 182 rows, K=1000000000000000000000000, A=1000000000000]
ACCEPT checkPrism  [gomila/spot-mp/prism-0874.json: 182 rows, K=1000000000000000000000000, A=1000000000000]
ACCEPT checkPrism  [gomila/spot-mp/prism-0875.json: 182 rows, K=1000000000000000000000000, A=1000000000000]
ACCEPT checkPrism  [gomila/spot-mp/prism-0876.json: 182 rows, K=1000000000000000000000000, A=1000000000000]
ACCEPT checkPrism  [gomila/spot-mp/prism-0877.json: 182 rows, K=1000000000000000000000000, A=1000000000000]
ACCEPT checkPrism  [gomila/spot-mp/prism-0878.json: 182 rows, K=1000000000000000000000000, A=1000000000000]
ACCEPT checkPrism  [gomila/spot-mp/prism-0879.json: 182 rows, K=1000000000000000000000000, A=1000000000000]
ACCEPT checkPrism  [gomila/spot-mp/prism-0880.json: 182 rows, K=1000000000000000000000000, A=1000000000000]
ACCEPT checkPrism  [gomila/spot-mp/prism-0881.json: 182 rows, K=1000000000000000000000000, A=1000000000000]
ACCEPT checkPrism  [gomila/spot-mp/prism-0882.json: 182 rows, K=1000000000000000000000000, A=1000000000000]
