# exact-arithmetic replay of Gomila's printed per-prism gate (BARRIER_CERTIFICATE.md eq. (1)), outward-rounded; source log sha256 2d010f70...05f4 @ a74738d
   1 | seam 0.000000000000 | Delta+ 3.581781e-05 | M- 4.278362 | Dz 9600 Dt 52726 mesh 38396 | spatial 0.500052 (replay 0.500052) | time 1.888530 (replay 1.888530) | gate margin +1.888530 (printed 1.888530) | C-B12 floor 3.778310 ok | cont ok | wind ok | PASS
   2 | seam 0.000035817813 | Delta+ 3.585557e-05 | M- 4.276463 | Dz 9585 Dt 52644 mesh 38336 | spatial 0.500052 (replay 0.500052) | time 1.887580 (replay 1.887580) | gate margin +1.887580 (printed 1.887580) | C-B12 floor 3.776411 ok | cont ok | wind ok | PASS
   3 | seam 0.000071673379 | Delta+ 3.589343e-05 | M- 4.274564 | Dz 9570 Dt 52562 mesh 38276 | spatial 0.500052 (replay 0.500052) | time 1.886631 (replay 1.886631) | gate margin +1.886631 (printed 1.886631) | C-B12 floor 3.774511 ok | cont ok | wind ok | PASS
   4 | seam 0.000107566812 | Delta+ 3.593141e-05 | M- 4.272663 | Dz 9555 Dt 52480 mesh 38216 | spatial 0.500052 (replay 0.500052) | time 1.885681 (replay 1.885681) | gate margin +1.885681 (printed 1.885681) | C-B12 floor 3.772611 ok | cont ok | wind ok | PASS
   5 | seam 0.000143498226 | Delta+ 3.596951e-05 | M- 4.270763 | Dz 9540 Dt 52398 mesh 38156 | spatial 0.500052 (replay 0.500052) | time 1.884730 (replay 1.884730) | gate margin +1.884730 (printed 1.884730) | C-B12 floor 3.770710 ok | cont ok | wind ok | PASS
   6 | seam 0.000179467733 | Delta+ 3.600772e-05 | M- 4.268862 | Dz 9525 Dt 52316 mesh 38096 | spatial 0.500052 (replay 0.500052) | time 1.883780 (replay 1.883780) | gate margin +1.883780 (printed 1.883780) | C-B12 floor 3.768809 ok | cont ok | wind ok | PASS
   7 | seam 0.000215475448 | Delta+ 3.604604e-05 | M- 4.266960 | Dz 9510 Dt 52234 mesh 38036 | spatial 0.500053 (replay 0.500053) | time 1.882829 (replay 1.882829) | gate margin +1.882829 (printed 1.882829) | C-B12 floor 3.766908 ok | cont ok | wind ok | PASS
   8 | seam 0.000251521487 | Delta+ 3.608448e-05 | M- 4.265058 | Dz 9495 Dt 52152 mesh 37976 | spatial 0.500053 (replay 0.500053) | time 1.881878 (replay 1.881878) | gate margin +1.881878 (printed 1.881878) | C-B12 floor 3.765005 ok | cont ok | wind ok | PASS
   9 | seam 0.000287605965 | Delta+ 3.612303e-05 | M- 4.263155 | Dz 9480 Dt 52070 mesh 37916 | spatial 0.500053 (replay 0.500053) | time 1.880926 (replay 1.880926) | gate margin +1.880926 (printed 1.880926) | C-B12 floor 3.763103 ok | cont ok | wind ok | PASS
  10 | seam 0.000323728997 | Delta+ 3.616101e-05 | M- 4.261252 | Dz 9465 Dt 51989 mesh 37856 | spatial 0.500053 (replay 0.500053) | time 1.879975 (replay 1.879975) | gate margin +1.879975 (printed 1.879975) | C-B12 floor 3.761199 ok | cont ok | wind ok | PASS
  11 | seam 0.000359890005 | Delta+ 3.619980e-05 | M- 4.259348 | Dz 9450 Dt 51907 mesh 37796 | spatial 0.500053 (replay 0.500053) | time 1.879023 (replay 1.879023) | gate margin +1.879023 (printed 1.879023) | C-B12 floor 3.759296 ok | cont ok | wind ok | PASS
  12 | seam 0.000396089800 | Delta+ 3.623870e-05 | M- 4.257444 | Dz 9435 Dt 51825 mesh 37736 | spatial 0.500053 (replay 0.500053) | time 1.878071 (replay 1.878071) | gate margin +1.878071 (printed 1.878071) | C-B12 floor 3.757391 ok | cont ok | wind ok | PASS
  13 | seam 0.000432328500 | Delta+ 3.627702e-05 | M- 4.255539 | Dz 9420 Dt 51744 mesh 37676 | spatial 0.500053 (replay 0.500053) | time 1.877118 (replay 1.877118) | gate margin +1.877118 (printed 1.877118) | C-B12 floor 3.755486 ok | cont ok | wind ok | PASS
  14 | seam 0.000468605521 | Delta+ 3.631616e-05 | M- 4.253634 | Dz 9405 Dt 51662 mesh 37616 | spatial 0.500053 (replay 0.500053) | time 1.876165 (replay 1.876165) | gate margin +1.876165 (printed 1.876165) | C-B12 floor 3.753581 ok | cont ok | wind ok | PASS
  15 | seam 0.000504921682 | Delta+ 3.635542e-05 | M- 4.251728 | Dz 9391 Dt 51580 mesh 37560 | spatial 0.500053 (replay 0.500053) | time 1.875213 (replay 1.875213) | gate margin +1.875213 (printed 1.875213) | C-B12 floor 3.751675 ok | cont ok | wind ok | PASS
  16 | seam 0.000541277101 | Delta+ 3.639409e-05 | M- 4.249822 | Dz 9376 Dt 51499 mesh 37500 | spatial 0.500053 (replay 0.500053) | time 1.874259 (replay 1.874259) | gate margin +1.874259 (printed 1.874259) | C-B12 floor 3.749769 ok | cont ok | wind ok | PASS
  17 | seam 0.000577671193 | Delta+ 3.643359e-05 | M- 4.247915 | Dz 9361 Dt 51417 mesh 37440 | spatial 0.500053 (replay 0.500053) | time 1.873306 (replay 1.873306) | gate margin +1.873306 (printed 1.873306) | C-B12 floor 3.747862 ok | cont ok | wind ok | PASS
  18 | seam 0.000614104782 | Delta+ 3.647250e-05 | M- 4.246008 | Dz 9346 Dt 51336 mesh 37380 | spatial 0.500054 (replay 0.500054) | time 1.872352 (replay 1.872352) | gate margin +1.872352 (printed 1.872352) | C-B12 floor 3.745954 ok | cont ok | wind ok | PASS
  19 | seam 0.000650577278 | Delta+ 3.651223e-05 | M- 4.244100 | Dz 9331 Dt 51254 mesh 37320 | spatial 0.500054 (replay 0.500054) | time 1.871398 (replay 1.871398) | gate margin +1.871398 (printed 1.871398) | C-B12 floor 3.744046 ok | cont ok | wind ok | PASS
  20 | seam 0.000687089512 | Delta+ 3.655138e-05 | M- 4.242191 | Dz 9316 Dt 51173 mesh 37260 | spatial 0.500054 (replay 0.500054) | time 1.870444 (replay 1.870444) | gate margin +1.870444 (printed 1.870444) | C-B12 floor 3.742137 ok | cont ok | wind ok | PASS
  21 | seam 0.000723640892 | Delta+ 3.659064e-05 | M- 4.240282 | Dz 9301 Dt 51092 mesh 37200 | spatial 0.500054 (replay 0.500054) | time 1.869489 (replay 1.869489) | gate margin +1.869489 (printed 1.869489) | C-B12 floor 3.740228 ok | cont ok | wind ok | PASS
  22 | seam 0.000760231536 | Delta+ 3.663075e-05 | M- 4.238373 | Dz 9286 Dt 51010 mesh 37140 | spatial 0.500054 (replay 0.500054) | time 1.868534 (replay 1.868534) | gate margin +1.868534 (printed 1.868534) | C-B12 floor 3.738319 ok | cont ok | wind ok | PASS
  23 | seam 0.000796862282 | Delta+ 3.667025e-05 | M- 4.236462 | Dz 9272 Dt 50929 mesh 37084 | spatial 0.500054 (replay 0.500054) | time 1.867579 (replay 1.867579) | gate margin +1.867579 (printed 1.867579) | C-B12 floor 3.736408 ok | cont ok | wind ok | PASS
  24 | seam 0.000833532533 | Delta+ 3.670988e-05 | M- 4.234552 | Dz 9257 Dt 50848 mesh 37024 | spatial 0.500054 (replay 0.500054) | time 1.866624 (replay 1.866624) | gate margin +1.866624 (printed 1.866624) | C-B12 floor 3.734498 ok | cont ok | wind ok | PASS
  25 | seam 0.000870242411 | Delta+ 3.674963e-05 | M- 4.232641 | Dz 9242 Dt 50767 mesh 36964 | spatial 0.500054 (replay 0.500054) | time 1.865668 (replay 1.865668) | gate margin +1.865668 (printed 1.865668) | C-B12 floor 3.732586 ok | cont ok | wind ok | PASS
  26 | seam 0.000906992036 | Delta+ 3.678949e-05 | M- 4.230729 | Dz 9227 Dt 50686 mesh 36904 | spatial 0.500054 (replay 0.500054) | time 1.864712 (replay 1.864712) | gate margin +1.864712 (printed 1.864712) | C-B12 floor 3.730675 ok | cont ok | wind ok | PASS
  27 | seam 0.000943781531 | Delta+ 3.682949e-05 | M- 4.228817 | Dz 9212 Dt 50605 mesh 36844 | spatial 0.500054 (replay 0.500054) | time 1.863756 (replay 1.863756) | gate margin +1.863756 (printed 1.863756) | C-B12 floor 3.728762 ok | cont ok | wind ok | PASS
  28 | seam 0.000980611016 | Delta+ 3.686960e-05 | M- 4.226904 | Dz 9198 Dt 50524 mesh 36788 | spatial 0.500054 (replay 0.500054) | time 1.862800 (replay 1.862800) | gate margin +1.862800 (printed 1.862800) | C-B12 floor 3.726849 ok | cont ok | wind ok | PASS
  29 | seam 0.001017480616 | Delta+ 3.690984e-05 | M- 4.224990 | Dz 9183 Dt 50443 mesh 36728 | spatial 0.500054 (replay 0.500054) | time 1.861843 (replay 1.861843) | gate margin +1.861843 (printed 1.861843) | C-B12 floor 3.724936 ok | cont ok | wind ok | PASS
  30 | seam 0.001054390454 | Delta+ 3.695020e-05 | M- 4.223076 | Dz 9168 Dt 50362 mesh 36668 | spatial 0.500055 (replay 0.500055) | time 1.860886 (replay 1.860886) | gate margin +1.860886 (printed 1.860886) | C-B12 floor 3.723022 ok | cont ok | wind ok | PASS
  31 | seam 0.001091340653 | Delta+ 3.699069e-05 | M- 4.221162 | Dz 9153 Dt 50281 mesh 36608 | spatial 0.500055 (replay 0.500055) | time 1.859929 (replay 1.859929) | gate margin +1.859929 (printed 1.859929) | C-B12 floor 3.721107 ok | cont ok | wind ok | PASS
