k | seam | rows arb/mp | pairs | disjoint | argdisj | M_k(lo) | floor arb / mp | E arb / mp (<0.00125?) | Dt_G | DT arb / mp | ratio DT/Dt_G arb,mp | our gate at Delta_G^+ arb,mp
   1 | 0.000000000 | 180/182 | 356 | 0 | 0 | 4.278362 | 4.098816 / 4.224797 | 3.565e-04 / 3.565e-04 | 52726 | 988.5 / 1052.8 | 0.019,0.020 | ok,ok
  50 | 0.001801187 | 176/182 | 352 | 0 | 0 | 4.184680 | 4.013654 / 4.133560 | 3.286e-04 / 3.286e-04 | 48752 | 929.0 / 991.4 | 0.019,0.020 | ok,ok
 100 | 0.003743970 | 176/182 | 352 | 0 | 0 | 4.087652 | 3.925304 / 4.039039 | 3.010e-04 / 3.010e-04 | 44801 | 869.1 / 929.5 | 0.019,0.021 | ok,ok
 150 | 0.005806304 | 169/182 | 345 | 0 | 0 | 3.988988 | 3.835303 / 3.942896 | 2.742e-04 / 2.742e-04 | 40960 | 810.0 / 868.3 | 0.020,0.021 | ok,ok
 200 | 0.008004810 | 160/182 | 336 | 0 | 0 | 3.888463 | 3.743435 / 3.844908 | 2.483e-04 / 2.483e-04 | 37228 | 751.7 / 807.8 | 0.020,0.022 | ok,ok
 250 | 0.010359875 | 155/182 | 331 | 0 | 0 | 3.785811 | 3.649436 / 3.744811 | 2.232e-04 / 2.232e-04 | 33610 | 695.3 / 748.0 | 0.021,0.022 | ok,ok
 300 | 0.012896862 | 142/182 | 318 | 0 | 0 | 3.680704 | 3.552987 / 3.642280 | 1.990e-04 / 1.990e-04 | 30106 | 637.9 / 688.9 | 0.021,0.023 | ok,ok
 350 | 0.015647917 | 134/182 | 310 | 0 | 0 | 3.572740 | 3.453697 / 3.536916 | 1.758e-04 / 1.758e-04 | 26721 | 629.6 / 630.4 | 0.024,0.024 | ok,ok
 400 | 0.018654618 | 130/182 | 306 | 0 | 0 | 3.461414 | 3.351062 / 3.428212 | 1.534e-04 / 1.534e-04 | 23458 | 568.7 / 572.7 | 0.024,0.024 | ok,ok
 450 | 0.021972091 | 126/182 | 302 | 0 | 0 | 3.346075 | 3.244452 / 3.315526 | 1.321e-04 / 1.321e-04 | 20321 | 508.7 / 515.5 | 0.025,0.025 | ok,ok
 500 | 0.025675578 | 122/182 | 298 | 0 | 0 | 3.225865 | 3.133038 / 3.198012 | 1.117e-04 / 1.117e-04 | 17316 | 461.3 / 458.9 | 0.027,0.027 | ok,ok
 550 | 0.029871744 | 118/182 | 294 | 0 | 0 | 3.099615 | 3.015626 / 3.074511 | 9.241e-05 / 9.241e-05 | 14447 | 431.6 / 402.9 | 0.030,0.028 | ok,ok
 600 | 0.034718967 | 115/182 | 291 | 0 | 0 | 2.965666 | 2.890626 / 2.943373 | 7.423e-05 / 7.423e-05 | 11725 | 367.0 / 347.4 | 0.031,0.030 | ok,ok
 650 | 0.040467556 | 114/182 | 290 | 0 | 0 | 2.821527 | 2.755651 / 2.802130 | 5.725e-05 / 5.725e-05 | 9158 | 303.8 / 292.1 | 0.033,0.032 | ok,ok
 700 | 0.047548348 | 106/182 | 282 | 0 | 0 | 2.663168 | 2.606781 / 2.646785 | 4.157e-05 / 4.157e-05 | 6761 | 242.0 / 237.1 | 0.036,0.035 | ok,ok
 750 | 0.056803098 | 95/182 | 271 | 0 | 0 | 2.483312 | 2.436926 / 2.470107 | 2.736e-05 / 2.736e-05 | 4555 | 181.9 / 181.8 | 0.040,0.040 | ok,ok
 800 | 0.070263138 | 85/182 | 261 | 0 | 0 | 2.266151 | 2.230679 / 2.256392 | 1.489e-05 / 1.489e-05 | 2576 | 147.9 / 125.6 | 0.057,0.049 | ok,ok
 850 | 0.095591582 | 80/182 | 256 | 0 | 0 | 1.961511 | 1.939111 / 1.955813 | 4.739e-06 / 4.739e-06 | 897 | 77.2 / 69.3 | 0.086,0.077 | ok,ok
 873 | 0.124128882 | 66/182 | 242 | 0 | 0 | 1.725965 | 1.711787 / 1.722701 | 1.305e-06 / 1.305e-06 | 286 | 47.4 / 38.9 | 0.166,0.136 | ok,ok
 874 | 0.126252852 | 66/182 | 242 | 0 | 0 | 1.711685 | 1.697951 / 1.708547 | 1.185e-06 / 1.185e-06 | 264 | 44.6 / 37.3 | 0.169,0.141 | ok,ok
 875 | 0.128525195 | 65/182 | 241 | 0 | 0 | 1.696821 | 1.683542 / 1.693811 | 1.070e-06 / 1.070e-06 | 242 | 41.8 / 35.8 | 0.173,0.148 | ok,ok
 876 | 0.130971358 | 65/182 | 241 | 0 | 0 | 1.681280 | 1.668469 / 1.678402 | 9.577e-07 / 9.577e-07 | 220 | 39.1 / 34.2 | 0.178,0.156 | ok,ok
 877 | 0.133624836 | 65/182 | 241 | 0 | 0 | 1.664941 | 1.652615 / 1.662197 | 8.495e-07 / 8.495e-07 | 199 | 36.7 / 32.5 | 0.185,0.163 | ok,ok
 878 | 0.136513786 | 64/182 | 240 | 0 | 0 | 1.647740 | 1.635915 / 1.645135 | 7.455e-07 / 7.455e-07 | 178 | 42.6 / 30.5 | 0.240,0.171 | ok,ok
 879 | 0.139690374 | 64/182 | 240 | 0 | 0 | 1.629505 | 1.618200 / 1.627042 | 6.458e-07 / 6.458e-07 | 158 | 39.2 / 28.4 | 0.248,0.180 | ok,ok
 880 | 0.143206238 | 64/182 | 240 | 0 | 0 | 1.610108 | 1.599346 / 1.607792 | 5.509e-07 / 5.509e-07 | 139 | 35.8 / 26.3 | 0.257,0.189 | ok,ok
 881 | 0.147122994 | 64/182 | 240 | 0 | 0 | 1.589423 | 1.579227 / 1.587258 | 4.615e-07 / 4.615e-07 | 121 | 32.4 / 24.2 | 0.268,0.200 | ok,ok
 882 | 0.151525661 | 64/182 | 240 | 0 | 0 | 1.567266 | 1.557660 / 1.565257 | 3.782e-07 / 3.782e-07 | 103 | 29.1 / 22.0 | 0.283,0.214 | ok,ok
 883 | 0.156572748 | 64/182 | 240 | 0 | 0 | 1.543199 | 1.534218 / 1.541352 | 3.011e-07 / 3.011e-07 | 87 | 25.9 / 19.9 | 0.297,0.228 | ok,ok

compared 29 prisms: 0 disjoint pairs/edges between D1's legs; 0 contradictions vs Gomila's printed scalars; our-gate-at-their-length failures: 0; missing: 0
CONSISTENT
