wrote /Users/jaytyagi/rh-lean-work/zeta-23-lean-main/comparator/ChallengeDeps/DBN.lean
| Zeta23 source | definition | lines |
|---|---|---|
| `Zeta23/DBN/Defs.lean` | `Phi` | 115–121 |
| `Zeta23/DBN/Defs.lean` | `Ht` | 123–127 |
| `Zeta23/DBN/Defs.lean` | `ZeroVerification` | 129–136 |
| `Zeta23/DBN/Defs.lean` | `alpha` | 138–139 |
| `Zeta23/DBN/Defs.lean` | `M0` | 141–144 |
| `Zeta23/DBN/Defs.lean` | `Mt` | 146–147 |
| `Zeta23/DBN/Defs.lean` | `Bt` | 149–153 |
| `Zeta23/DBN/Defs.lean` | `HtEntire` | 155–158 |
| `Zeta23/DBN/Defs.lean` | `Polymath15Bridge'` | 160–177 |
| `Zeta23/W1/Format.lean` | `W1Row` | 49–58 |
| `Zeta23/W1/Format.lean` | `W1Data` | 60–91 |
| `Zeta23/W1/Checker.lean` | `ratEqB` | 57–58 |
| `Zeta23/W1/Checker.lean` | `densPos` | 60–63 |
| `Zeta23/W1/Checker.lean` | `chainLt` | 65–69 |
| `Zeta23/W1/Checker.lean` | `chainGt` | 71–75 |
| `Zeta23/W1/Checker.lean` | `firstOK` | 77–80 |
| `Zeta23/W1/Checker.lean` | `lastOK` | 82–86 |
| `Zeta23/W1/Checker.lean` | `edgeOK` | 88–92 |
| `Zeta23/W1/Checker.lean` | `rowOK` | 96–103 |
| `Zeta23/W1/Checker.lean` | `rowsOK` | 105–108 |
| `Zeta23/W1/Checker.lean` | `sumArgLo` | 110–113 |
| `Zeta23/W1/Checker.lean` | `sumArgHi` | 115–118 |
| `Zeta23/W1/Checker.lean` | `mdist` | 151–153 |
| `Zeta23/W1/Checker.lean` | `floorRowOK` | 155–157 |
| `Zeta23/W1/Checker.lean` | `floorRowsOK` | 159–162 |
| `Zeta23/W1/Soundness.lean` | `ratVal` | 74–75 |
| `Zeta23/W1/Soundness.lean` | `sigma1` | 77–78 |
| `Zeta23/W1/Soundness.lean` | `sigma2` | 79–80 |
| `Zeta23/W1/Soundness.lean` | `T1` | 81–82 |
| `Zeta23/W1/Soundness.lean` | `T2` | 83–84 |
| `Zeta23/W1/Soundness.lean` | `cpt` | 86–87 |
| `Zeta23/W1/Soundness.lean` | `rectClosed` | 92–94 |
| `Zeta23/W1/Soundness.lean` | `rectOpen` | 96–98 |
| `Zeta23/W1/Soundness.lean` | `rectBdry` | 100–103 |
| `Zeta23/W1/Soundness.lean` | `consecPairs` | 114–118 |
| `Zeta23/W1/Soundness.lean` | `segPt` | 120–121 |
| `Zeta23/W1/Soundness.lean` | `bottomPts` | 123–124 |
| `Zeta23/W1/Soundness.lean` | `rightPts` | 125–126 |
| `Zeta23/W1/Soundness.lean` | `topPts` | 127–128 |
| `Zeta23/W1/Soundness.lean` | `leftPts` | 129–130 |
| `Zeta23/W1/Soundness.lean` | `segs` | 132–136 |
| `Zeta23/W1/Soundness.lean` | `logDerivSegIntegral` | 138–142 |
| `Zeta23/W1/Soundness.lean` | `argIncrement` | 144–146 |
| `Zeta23/W1/Soundness.lean` | `RowEnclOK` | 150–159 |
| `Zeta23/DBN/BarrierCert.lean` | `PrismData` | 90–108 |
| `Zeta23/DBN/BarrierCert.lean` | `RectData` | 110–120 |
| `Zeta23/DBN/BarrierCert.lean` | `BarrierData` | 122–127 |
| `Zeta23/DBN/BarrierCert.lean` | `toW1` | 129–135 |
| `Zeta23/DBN/BarrierCert.lean` | `seams` | 137–138 |
| `Zeta23/DBN/BarrierCert.lean` | `checkPrismW1` | 142–158 |
| `Zeta23/DBN/BarrierCert.lean` | `checkPrism` | 160–167 |
| `Zeta23/DBN/BarrierCert.lean` | `checkBarrierChain` | 169–179 |
| `Zeta23/DBN/BarrierCert.lean` | `checkBarrier` | 181–184 |
| `Zeta23/DBN/BarrierCert.lean` | `RectData.x1` | 188–189 |
| `Zeta23/DBN/BarrierCert.lean` | `RectData.x2` | 190–191 |
| `Zeta23/DBN/BarrierCert.lean` | `RectData.y1` | 192–193 |
| `Zeta23/DBN/BarrierCert.lean` | `RectData.y2` | 194–195 |
| `Zeta23/DBN/BarrierCert.lean` | `seamTime` | 197–198 |
| `Zeta23/DBN/BarrierCert.lean` | `t0` | 199–200 |
| `Zeta23/DBN/BarrierCert.lean` | `RectClosedOf` | 201–202 |
| `Zeta23/DBN/BarrierCert.lean` | `RectBdryOf` | 203–204 |
| `Zeta23/DBN/BarrierCert.lean` | `BarrierRect` | 205–206 |
| `Zeta23/DBN/BarrierCert.lean` | `BarrierBdry` | 207–208 |
| `Zeta23/DBN/BarrierCert.lean` | `nextSeams` | 210–211 |
| `Zeta23/DBN/BarrierCert.lean` | `PrismEnclOK` | 213–221 |
| `Zeta23/DBN/BarrierCert.lean` | `BarrierEnclOK` | 223–227 |
| `Zeta23/DBN/Asym.lean` | `windowIdx` | 79–80 |
| `Zeta23/DBN/Asym.lean` | `AsymRow` | 82–87 |
| `Zeta23/DBN/Asym.lean` | `TailRow` | 89–96 |
| `Zeta23/DBN/Asym.lean` | `AsymData` | 98–108 |
| `Zeta23/DBN/Asym.lean` | `checkAsymRow` | 110–112 |
| `Zeta23/DBN/Asym.lean` | `consecutive` | 114–118 |
| `Zeta23/DBN/Asym.lean` | `lastNhi` | 120–124 |
| `Zeta23/DBN/Asym.lean` | `checkAsym` | 126–137 |
| `Zeta23/DBN/Asym.lean` | `At0` | 139–140 |
| `Zeta23/DBN/Asym.lean` | `Ay0` | 141–142 |
| `Zeta23/DBN/Asym.lean` | `AyA` | 143–144 |
| `Zeta23/DBN/Asym.lean` | `AsymEnclOK` | 146–149 |
| `Zeta23/DBN/Asym.lean` | `TailOK` | 151–153 |
