shape OK  transcripts/row2/manifest.json (kind=manifest, 39 prisms)
shape OK  transcripts/row2/prism-0000.json (kind=prism, 184 rows)
shape OK  transcripts/row2/prism-0001.json (kind=prism, 184 rows)
shape OK  transcripts/row2/prism-0002.json (kind=prism, 184 rows)
shape OK  transcripts/row2/prism-0003.json (kind=prism, 184 rows)
shape OK  transcripts/row2/prism-0004.json (kind=prism, 184 rows)
shape OK  transcripts/row2/prism-0005.json (kind=prism, 184 rows)
shape OK  transcripts/row2/prism-0006.json (kind=prism, 184 rows)
shape OK  transcripts/row2/prism-0007.json (kind=prism, 184 rows)
shape OK  transcripts/row2/prism-0008.json (kind=prism, 184 rows)
shape OK  transcripts/row2/prism-0009.json (kind=prism, 184 rows)
shape OK  transcripts/row2/prism-0010.json (kind=prism, 184 rows)
shape OK  transcripts/row2/prism-0011.json (kind=prism, 184 rows)
shape OK  transcripts/row2/prism-0012.json (kind=prism, 184 rows)
shape OK  transcripts/row2/prism-0013.json (kind=prism, 184 rows)
shape OK  transcripts/row2/prism-0014.json (kind=prism, 184 rows)
shape OK  transcripts/row2/prism-0015.json (kind=prism, 184 rows)
shape OK  transcripts/row2/prism-0016.json (kind=prism, 184 rows)
shape OK  transcripts/row2/prism-0017.json (kind=prism, 184 rows)
shape OK  transcripts/row2/prism-0018.json (kind=prism, 184 rows)
shape OK  transcripts/row2/prism-0019.json (kind=prism, 184 rows)
shape OK  transcripts/row2/prism-0020.json (kind=prism, 184 rows)
shape OK  transcripts/row2/prism-0021.json (kind=prism, 184 rows)
shape OK  transcripts/row2/prism-0022.json (kind=prism, 184 rows)
shape OK  transcripts/row2/prism-0023.json (kind=prism, 184 rows)
shape OK  transcripts/row2/prism-0024.json (kind=prism, 184 rows)
shape OK  transcripts/row2/prism-0025.json (kind=prism, 184 rows)
shape OK  transcripts/row2/prism-0026.json (kind=prism, 184 rows)
shape OK  transcripts/row2/prism-0027.json (kind=prism, 184 rows)
shape OK  transcripts/row2/prism-0028.json (kind=prism, 184 rows)
shape OK  transcripts/row2/prism-0029.json (kind=prism, 184 rows)
shape OK  transcripts/row2/prism-0030.json (kind=prism, 184 rows)
shape OK  transcripts/row2/prism-0031.json (kind=prism, 184 rows)
shape OK  transcripts/row2/prism-0032.json (kind=prism, 184 rows)
shape OK  transcripts/row2/prism-0033.json (kind=prism, 184 rows)
shape OK  transcripts/row2/prism-0034.json (kind=prism, 184 rows)
shape OK  transcripts/row2/prism-0035.json (kind=prism, 184 rows)
shape OK  transcripts/row2/prism-0036.json (kind=prism, 184 rows)
shape OK  transcripts/row2/prism-0037.json (kind=prism, 184 rows)
shape OK  transcripts/row2/prism-0038.json (kind=prism, 184 rows)
all 40 files shape-valid against barrier-schema.json
