seam | tau | rows arb/mp | overlapping pairs | disjoint | arg-disjoint edges | floor arb / mp | E arb / mp | D arb / mp | winding arb | winding mp
   0 | 0.000000000 | 289/184 | 465 | 0 | 0 | 4.382537 / 4.629434 | 4.1192e-04 / 4.1192e-04 | 3.9003e+00 / 2.3411e+00 | [-142,147]/1e+06 | [-91,93]/1e+12
   1 | 0.001077362 | 287/184 | 463 | 0 | 0 | 4.325534 / 4.563694 | 3.9260e-04 / 3.9260e-04 | 3.9329e+00 / 2.3088e+00 | [-148,139]/1e+06 | [-94,91]/1e+12
   2 | 0.002183864 | 284/184 | 460 | 0 | 0 | 4.268282 / 4.497828 | 3.7370e-04 / 3.7370e-04 | 3.9683e+00 / 2.2731e+00 | [-138,146]/1e+06 | [-102,84]/1e+12
   3 | 0.003321149 | 282/184 | 458 | 0 | 0 | 4.210766 / 4.431822 | 3.5523e-04 / 3.5523e-04 | 4.0069e+00 / 2.2342e+00 | [-143,139]/1e+06 | [-94,93]/1e+12
   4 | 0.004491015 | 278/184 | 454 | 0 | 0 | 4.152971 / 4.365659 | 3.3717e-04 / 3.3717e-04 | 4.0492e+00 / 2.2097e+00 | [-131,147]/1e+06 | [-93,94]/1e+12
   5 | 0.005695420 | 275/184 | 451 | 0 | 0 | 4.094878 / 4.299323 | 3.1954e-04 / 3.1954e-04 | 3.4561e+00 / 2.1638e+00 | [-147,128]/1e+06 | [-90,101]/1e+12
   6 | 0.006843421 | 271/184 | 447 | 0 | 0 | 4.040799 / 4.237723 | 3.0360e-04 / 3.0360e-04 | 3.4895e+00 / 2.1384e+00 | [-139,132]/1e+06 | [-97,97]/1e+12
   7 | 0.008024766 | 265/184 | 441 | 0 | 0 | 3.986431 / 4.175941 | 2.8802e-04 / 2.8802e-04 | 3.6862e+00 / 2.1090e+00 | [-136,129]/1e+06 | [-89,102]/1e+12
   8 | 0.009241477 | 260/184 | 436 | 0 | 0 | 3.931756 / 4.113961 | 2.7281e-04 / 2.7281e-04 | 3.7213e+00 / 2.0757e+00 | [-130,130]/1e+06 | [-96,96]/1e+12
   9 | 0.010495765 | 253/184 | 429 | 0 | 0 | 3.876756 / 4.051765 | 2.5797e-04 / 2.5797e-04 | 3.7595e+00 / 2.0528e+00 | [-123,130]/1e+06 | [-98,91]/1e+12
  10 | 0.011790053 | 237/184 | 413 | 0 | 0 | 3.821410 / 3.989334 | 2.4351e-04 / 2.4351e-04 | 3.8010e+00 / 2.0250e+00 | [-114,123]/1e+06 | [-98,99]/1e+12
  11 | 0.013126999 | 225/184 | 401 | 0 | 0 | 3.765698 / 3.926646 | 2.2942e-04 / 2.2942e-04 | 3.1831e+00 / 1.9924e+00 | [-113,112]/1e+06 | [-85,105]/1e+12
  12 | 0.014388999 | 216/184 | 392 | 0 | 0 | 3.714427 / 3.869096 | 2.1686e-04 / 2.1686e-04 | 3.0987e+00 / 1.9652e+00 | [-112,104]/1e+06 | [-102,106]/1e+12
  13 | 0.015663800 | 194/184 | 370 | 0 | 0 | 3.663897 / 3.812510 | 2.0488e-04 / 2.0488e-04 | 3.0793e+00 / 1.9359e+00 | [-101,93]/1e+06 | [-100,98]/1e+12
  14 | 0.016964270 | 193/184 | 369 | 0 | 0 | 3.613617 / 3.756334 | 1.9334e-04 / 1.9334e-04 | 3.1446e+00 / 1.9037e+00 | [-97,96]/1e+06 | [-108,92]/1e+12
  15 | 0.018308146 | 191/184 | 367 | 0 | 0 | 3.562965 / 3.699873 | 1.8210e-04 / 1.8210e-04 | 3.2207e+00 / 1.8785e+00 | [-96,95]/1e+06 | [-99,107]/1e+12
  16 | 0.019698443 | 188/184 | 364 | 0 | 0 | 3.511916 / 3.643105 | 1.7115e-04 / 1.7115e-04 | 3.3046e+00 / 1.8486e+00 | [-95,93]/1e+06 | [-98,99]/1e+12
  17 | 0.021138497 | 186/184 | 362 | 0 | 0 | 3.460447 / 3.586005 | 1.6051e-04 / 1.6051e-04 | 3.4139e+00 / 1.8239e+00 | [-87,99]/1e+06 | [-100,104]/1e+12
  18 | 0.022632008 | 183/184 | 359 | 0 | 0 | 3.408530 / 3.528546 | 1.5017e-04 / 1.5017e-04 | 2.4597e+00 / 1.7940e+00 | [-94,89]/1e+06 | [-101,101]/1e+12
  19 | 0.023909375 | 181/184 | 357 | 0 | 0 | 3.365270 / 3.480776 | 1.4185e-04 / 1.4185e-04 | 2.5186e+00 / 1.7673e+00 | [-87,94]/1e+06 | [-101,105]/1e+12
  20 | 0.025228765 | 179/184 | 355 | 0 | 0 | 3.321662 / 3.432718 | 1.3375e-04 / 1.3375e-04 | 2.5823e+00 / 1.7456e+00 | [-84,95]/1e+06 | [-103,98]/1e+12
  21 | 0.026593028 | 177/184 | 353 | 0 | 0 | 3.277685 / 3.384353 | 1.2586e-04 / 1.2586e-04 | 2.6513e+00 / 1.7277e+00 | [-87,90]/1e+06 | [-103,97]/1e+12
  22 | 0.028005308 | 173/184 | 349 | 0 | 0 | 3.233318 / 3.335660 | 1.1817e-04 / 1.1817e-04 | 2.7263e+00 / 1.6973e+00 | [-93,80]/1e+06 | [-102,100]/1e+12
  23 | 0.029469082 | 171/184 | 347 | 0 | 0 | 3.188537 / 3.286616 | 1.1071e-04 / 1.1071e-04 | 2.8078e+00 / 1.6777e+00 | [-80,91]/1e+06 | [-105,106]/1e+12
  24 | 0.030988210 | 169/184 | 345 | 0 | 0 | 3.143318 / 3.237196 | 1.0346e-04 / 1.0346e-04 | 2.8966e+00 / 1.6529e+00 | [-88,81]/1e+06 | [-99,111]/1e+12
  25 | 0.032566991 | 167/184 | 343 | 0 | 0 | 3.097632 / 3.187373 | 9.6425e-05 / 9.6425e-05 | 2.9935e+00 / 1.6297e+00 | [-85,82]/1e+06 | [-98,108]/1e+12
  26 | 0.034210230 | 166/184 | 342 | 0 | 0 | 3.051450 / 3.137119 | 8.9613e-05 / 8.9613e-05 | 2.5572e+00 / 1.6071e+00 | [-83,83]/1e+06 | [-107,103]/1e+12
  27 | 0.035794838 | 165/184 | 341 | 0 | 0 | 3.008193 / 3.090146 | 8.3500e-05 / 8.3500e-05 | 2.6411e+00 / 1.5798e+00 | [-84,81]/1e+06 | [-110,103]/1e+12
  28 | 0.037444307 | 162/184 | 338 | 0 | 0 | 2.964452 / 3.042743 | 7.7580e-05 / 7.7580e-05 | 2.7326e+00 / 1.5588e+00 | [-86,76]/1e+06 | [-102,110]/1e+12
  29 | 0.039164019 | 161/184 | 337 | 0 | 0 | 2.920195 / 2.994881 | 7.1853e-05 / 7.1853e-05 | 2.8323e+00 / 1.5373e+00 | [-79,82]/1e+06 | [-104,106]/1e+12
  30 | 0.040960014 | 158/184 | 334 | 0 | 0 | 2.875390 / 2.946527 | 6.6324e-05 / 6.6324e-05 | 2.5452e+00 / 1.5145e+00 | [-81,77]/1e+06 | [-111,106]/1e+12
  31 | 0.042686817 | 156/184 | 332 | 0 | 0 | 2.833623 / 2.901544 | 6.1409e-05 / 6.1409e-05 | 2.6395e+00 / 1.4929e+00 | [-76,80]/1e+06 | [-102,107]/1e+12
  32 | 0.044490324 | 153/184 | 329 | 0 | 0 | 2.791325 / 2.856077 | 5.6664e-05 / 5.6664e-05 | 1.7779e+00 / 1.4711e+00 | [-78,75]/1e+06 | [-103,110]/1e+12
  33 | 0.046007899 | 152/184 | 328 | 0 | 0 | 2.756743 / 2.818972 | 5.2957e-05 / 5.2957e-05 | 1.7662e+00 / 1.4529e+00 | [-77,75]/1e+06 | [-109,107]/1e+12
  34 | 0.047562969 | 146/184 | 322 | 0 | 0 | 2.722233 / 2.782002 | 4.9409e-05 / 4.9409e-05 | 1.7261e+00 / 1.4354e+00 | [-78,68]/1e+06 | [-104,114]/1e+12
  35 | 0.049146318 | 143/184 | 319 | 0 | 0 | 2.688027 / 2.745417 | 4.6042e-05 / 4.6042e-05 | 2.3900e+00 / 1.4151e+00 | [-71,72]/1e+06 | [-105,105]/1e+12
  36 | 0.051007334 | 127/184 | 303 | 0 | 0 | 2.648984 / 2.703727 | 4.2375e-05 / 4.2375e-05 | 2.3880e+00 / 1.3986e+00 | [-62,65]/1e+06 | [-109,109]/1e+12
  37 | 0.052924360 | 125/184 | 301 | 0 | 0 | 2.610029 / 2.662208 | 3.8904e-05 / 3.8904e-05 | 2.5378e+00 / 1.3772e+00 | [-67,58]/1e+06 | [-107,114]/1e+12
  38 | 0.054952806 | 123/184 | 299 | 0 | 0 | 2.570152 / 2.619781 | 3.5540e-05 / 3.5540e-05 | 1.7196e+00 / 1.3582e+00 | [-61,62]/1e+06 | [-103,116]/1e+12
  39 | 0.056726270 | 123/184 | 299 | 0 | 0 | 2.536375 / 2.583901 | 3.2838e-05 / 3.2838e-05 | 1.8087e+00 / 1.3389e+00 | [-65,58]/1e+06 | [-108,109]/1e+12
  40 | 0.058593521 | 121/184 | 297 | 0 | 0 | 2.501865 / 2.547299 | 3.0215e-05 / 3.0214e-05 | 1.9056e+00 / 1.3224e+00 | [-59,62]/1e+06 | [-114,104]/1e+12
  41 | 0.060562597 | 119/184 | 295 | 0 | 0 | 2.466602 / 2.509957 | 2.7675e-05 / 2.7675e-05 | 1.9882e+00 / 1.3049e+00 | [-58,61]/1e+06 | [-107,112]/1e+12
  42 | 0.062632660 | 117/184 | 293 | 0 | 0 | 2.430728 / 2.472030 | 2.5235e-05 / 2.5235e-05 | 2.0809e+00 / 1.2860e+00 | [-56,61]/1e+06 | [-108,110]/1e+12
  43 | 0.064814141 | 117/184 | 293 | 0 | 0 | 2.394201 / 2.433474 | 2.2896e-05 / 2.2896e-05 | 2.1850e+00 / 1.2697e+00 | [-54,63]/1e+06 | [-111,107]/1e+12
  44 | 0.067119091 | 113/184 | 289 | 0 | 0 | 2.356968 / 2.394237 | 2.0660e-05 / 2.0660e-05 | 2.3024e+00 / 1.2502e+00 | [-49,64]/1e+06 | [-110,105]/1e+12
  45 | 0.069561517 | 113/184 | 289 | 0 | 0 | 2.318973 / 2.354264 | 1.8528e-05 / 1.8528e-05 | 2.0044e+00 / 1.2308e+00 | [-61,52]/1e+06 | [-106,111]/1e+12
  46 | 0.071963087 | 110/184 | 286 | 0 | 0 | 2.283011 / 2.316489 | 1.6647e-05 / 1.6647e-05 | 2.2114e+00 / 1.2137e+00 | [-59,51]/1e+06 | [-111,112]/1e+12
  47 | 0.074559016 | 109/184 | 285 | 0 | 0 | 2.245622 / 2.277278 | 1.4827e-05 / 1.4827e-05 | 1.9725e+00 / 1.1941e+00 | [-55,54]/1e+06 | [-109,100]/1e+12
  48 | 0.077144645 | 108/184 | 284 | 0 | 0 | 2.209841 / 2.239811 | 1.3213e-05 / 1.3213e-05 | 2.1411e+00 / 1.1778e+00 | [-52,56]/1e+06 | [-107,99]/1e+12
  49 | 0.079928407 | 106/184 | 282 | 0 | 0 | 2.172865 / 2.201152 | 1.1670e-05 / 1.1670e-05 | 1.8686e+00 / 1.1622e+00 | [-53,53]/1e+06 | [-104,107]/1e+12
  50 | 0.082687482 | 104/184 | 280 | 0 | 0 | 2.137720 / 2.164462 | 1.0320e-05 / 1.0320e-05 | 1.6087e+00 / 1.1450e+00 | [-54,50]/1e+06 | [-107,110]/1e+12
  51 | 0.085342185 | 103/184 | 279 | 0 | 0 | 2.105246 / 2.130607 | 9.1676e-06 / 9.1676e-06 | 1.7464e+00 / 1.1307e+00 | [-50,53]/1e+06 | [-105,112]/1e+12
  52 | 0.088219761 | 99/184 | 275 | 0 | 0 | 2.071456 / 2.095427 | 8.0637e-06 / 8.0637e-06 | 1.9168e+00 / 1.1146e+00 | [-51,48]/1e+06 | [-108,104]/1e+12
  53 | 0.091360591 | 96/184 | 272 | 0 | 0 | 2.036162 / 2.058733 | 7.0100e-06 / 7.0100e-06 | 1.7592e+00 / 1.0958e+00 | [-46,50]/1e+06 | [-106,111]/1e+12
  54 | 0.094557393 | 94/184 | 270 | 0 | 0 | 2.001847 / 2.023104 | 6.0787e-06 / 6.0787e-06 | 1.6789e+00 / 1.0718e+00 | [-45,49]/1e+06 | [-104,105]/1e+12
  55 | 0.097623148 | 87/184 | 263 | 0 | 0 | 1.970378 / 1.990472 | 5.3021e-06 / 5.3021e-06 | 1.7192e+00 / 1.0585e+00 | [-42,45]/1e+06 | [-109,110]/1e+12
