p,a1,a2,N1,N2,b1,b2,c1_id,c2_id,least_m_id,least_m_flip,shape4_id,shape5_id,shape4_flip,shape5_flip,fact22_id,fact23_id,fact33_id,fact22_flip,fact23_flip,fact33_flip,Jmax_conn_id,Jmax_conn_flip
3,-4,8,0,10,-2.309401,2.666667,-1.971197,-0.338204,,0,nonpositive,nonpositive,realized,realized,False,False,False,True,True,True,,0.1982
3,-4,9,0,12,-2.309401,3.0,-1.732051,-0.57735,,0,nonpositive,nonpositive,realized,realized,False,False,False,True,True,True,,0.1961
3,-4,10,0,14,-2.309401,3.333333,-1.154701,-1.154701,,0,nonpositive,nonpositive,realized,realized,False,False,False,True,True,True,,0.2747
3,-3,5,1,11,-1.732051,1.666667,-1.906858,0.174808,,0,nonpositive,nonpositive,realized,realized,False,False,False,False,True,True,,0.7036
3,-3,6,1,13,-1.732051,2.0,-1.732051,-0.0,,0,nonpositive,nonpositive,realized,realized,False,False,False,False,True,True,,0.3494
3,-3,7,1,15,-1.732051,2.333333,-1.511523,-0.220528,,0,nonpositive,nonpositive,realized,realized,False,False,False,True,True,True,,0.3168
3,-2,1,2,8,-1.154701,0.333333,-1.991564,0.836863,,0,nonpositive,nonpositive,realized,realized,False,False,False,False,True,True,,1.4627
3,-2,2,2,10,-1.154701,0.666667,-1.868345,0.713644,,0,nonpositive,nonpositive,realized,realized,False,False,False,False,True,True,,1.2855
3,-2,3,2,12,-1.154701,1.0,-1.732051,0.57735,,0,nonpositive,nonpositive,realized,realized,False,False,False,False,True,True,,0.3662
3,-2,4,2,14,-1.154701,1.333333,-1.57735,0.42265,,0,nonpositive,nonpositive,realized,realized,False,False,False,False,True,True,,0.3677
3,-2,5,2,16,-1.154701,1.666667,-1.393847,0.239146,,0,nonpositive,nonpositive,realized,realized,False,False,False,False,True,True,,0.1309
3,-2,6,2,18,-1.154701,2.0,-1.154701,-0.0,,0,nonpositive,nonpositive,realized,realized,False,False,False,False,True,True,,0.3715
3,-2,7,2,20,-1.154701,2.333333,-0.57735,-0.57735,2,0,nonpositive,nonpositive,realized,realized,False,False,True,True,True,True,,0.6212
3,-1,-2,3,5,-0.57735,-0.666667,-1.946988,1.369637,,,nonpositive,nonpositive,nonpositive,nonpositive,False,False,False,False,False,False,,
3,-1,-1,3,7,-0.57735,-0.333333,-1.843238,1.265888,,,nonpositive,nonpositive,nonpositive,lemma,False,False,False,False,False,False,,
3,-1,0,3,9,-0.57735,0.0,-1.732051,1.154701,,,nonpositive,nonpositive,nonpositive,lemma,False,False,False,False,False,False,,
3,-1,1,3,11,-0.57735,0.333333,-1.611551,1.034201,,0,nonpositive,nonpositive,realized,realized,False,False,False,False,False,False,,0.8999
3,-1,2,3,13,-0.57735,0.666667,-1.478913,0.901563,1,0,nonpositive,realized,realized,realized,False,False,False,False,True,True,0.9736,0.7337
3,-1,3,3,15,-0.57735,1.0,-1.329508,0.752158,1,0,nonpositive,realized,realized,realized,False,False,False,False,True,True,0.9568,0.3356
3,-1,4,3,17,-0.57735,1.333333,-1.154701,0.57735,1,0,nonpositive,realized,realized,realized,False,False,False,False,True,True,1.7366,0.6548
3,-1,5,3,19,-0.57735,1.666667,-0.934172,0.356822,1,0,nonpositive,realized,realized,realized,False,True,True,False,True,True,1.6988,0.5835
3,0,-2,4,6,0.0,-0.666667,-1.632993,1.632993,,,nonpositive,nonpositive,nonpositive,nonpositive,False,False,False,False,False,False,,
3,0,-1,4,8,0.0,-0.333333,-1.527525,1.527525,,,nonpositive,nonpositive,nonpositive,nonpositive,False,False,False,False,False,False,,
3,0,0,4,10,0.0,0.0,-1.414214,1.414214,,,nonpositive,nonpositive,nonpositive,nonpositive,False,False,False,False,False,False,,
3,0,1,4,12,0.0,0.333333,-1.290994,1.290994,1,1,nonpositive,realized,nonpositive,realized,False,False,False,False,False,False,1.3805,1.3805
3,0,2,4,14,0.0,0.666667,-1.154701,1.154701,1,1,nonpositive,realized,nonpositive,realized,False,False,False,False,False,False,0.5534,0.5534
3,0,3,4,16,0.0,1.0,-1.0,1.0,1,1,nonpositive,realized,nonpositive,realized,False,False,False,False,False,False,0.4538,0.4538
3,0,4,4,18,0.0,1.333333,-0.816497,0.816497,1,1,nonpositive,realized,nonpositive,realized,False,True,True,False,True,True,0.8526,1.3593
3,0,5,4,20,0.0,1.666667,-0.57735,0.57735,1,1,nonpositive,realized,nonpositive,realized,False,True,True,False,True,True,1.0281,1.0281
3,1,-2,5,5,0.57735,-0.666667,-1.369637,1.946988,,,nonpositive,nonpositive,nonpositive,nonpositive,False,False,False,False,False,False,,
3,1,-1,5,7,0.57735,-0.333333,-1.265888,1.843238,,,nonpositive,lemma,nonpositive,nonpositive,False,False,False,False,False,False,,
3,1,0,5,9,0.57735,0.0,-1.154701,1.732051,,,nonpositive,lemma,nonpositive,nonpositive,False,False,False,False,False,False,,
3,1,1,5,11,0.57735,0.333333,-1.034201,1.611551,0,,realized,realized,nonpositive,nonpositive,False,False,False,False,False,False,0.8999,
3,1,2,5,13,0.57735,0.666667,-0.901563,1.478913,0,1,realized,realized,nonpositive,realized,False,True,True,False,False,False,0.7337,0.9736
3,1,3,5,15,0.57735,1.0,-0.752158,1.329508,0,1,realized,realized,nonpositive,realized,False,True,True,False,False,False,0.3356,1.1461
3,1,4,5,17,0.57735,1.333333,-0.57735,1.154701,0,1,realized,realized,nonpositive,realized,False,True,True,False,False,False,0.5944,1.7366
3,1,5,5,19,0.57735,1.666667,-0.356822,0.934172,0,1,realized,realized,nonpositive,realized,False,True,True,False,True,True,0.5777,1.2515
3,2,1,6,8,1.154701,0.333333,-0.836863,1.991564,0,,realized,realized,nonpositive,nonpositive,False,True,True,False,False,False,1.4627,
3,2,2,6,10,1.154701,0.666667,-0.713644,1.868345,0,,realized,realized,nonpositive,nonpositive,False,True,True,False,False,False,1.2855,
3,2,3,6,12,1.154701,1.0,-0.57735,1.732051,0,,realized,realized,nonpositive,nonpositive,False,True,True,False,False,False,0.3662,
3,2,4,6,14,1.154701,1.333333,-0.42265,1.57735,0,,realized,realized,nonpositive,nonpositive,False,True,True,False,False,False,0.3677,
3,2,5,6,16,1.154701,1.666667,-0.239146,1.393847,0,,realized,realized,nonpositive,nonpositive,False,True,True,False,False,False,0.1309,
3,2,6,6,18,1.154701,2.0,-0.0,1.154701,0,,realized,realized,nonpositive,nonpositive,False,True,True,False,False,False,0.4057,
3,2,7,6,20,1.154701,2.333333,0.57735,0.57735,0,2,realized,realized,nonpositive,nonpositive,True,True,True,False,False,True,0.6212,
3,3,5,7,11,1.732051,1.666667,-0.174808,1.906858,0,,realized,realized,nonpositive,nonpositive,False,True,True,False,False,False,0.7036,
3,3,6,7,13,1.732051,2.0,-0.0,1.732051,0,,realized,realized,nonpositive,nonpositive,False,True,True,False,False,False,0.373,
3,3,7,7,15,1.732051,2.333333,0.220528,1.511523,0,,realized,realized,nonpositive,nonpositive,True,True,True,False,False,False,0.3709,
3,4,8,8,10,2.309401,2.666667,0.338204,1.971197,0,,realized,realized,nonpositive,nonpositive,True,True,True,False,False,False,0.1982,
3,4,9,8,12,2.309401,3.0,0.57735,1.732051,0,,realized,realized,nonpositive,nonpositive,True,True,True,False,False,False,0.1961,
3,4,10,8,14,2.309401,3.333333,1.154701,1.154701,0,,realized,realized,nonpositive,nonpositive,True,True,True,False,False,False,0.2747,
5,-6,17,0,24,-2.683282,3.4,-1.974096,-0.709185,,0,nonpositive,nonpositive,realized,realized,False,False,False,True,True,True,,0.2968
5,-6,18,0,26,-2.683282,3.6,-1.788854,-0.894427,,0,nonpositive,nonpositive,realized,realized,False,False,False,True,True,True,,0.146
5,-6,19,0,28,-2.683282,3.8,-1.341641,-1.341641,,0,nonpositive,nonpositive,realized,realized,False,False,False,True,True,True,,0.1996
5,-5,13,1,27,-2.236068,2.6,-1.92426,-0.311808,,0,nonpositive,nonpositive,realized,realized,False,False,False,True,True,True,,0.3535
5,-5,14,1,29,-2.236068,2.8,-1.788854,-0.447214,,0,nonpositive,nonpositive,realized,realized,False,False,False,True,True,True,,0.1564
5,-5,15,1,31,-2.236068,3.0,-1.618034,-0.618034,,0,nonpositive,nonpositive,realized,realized,False,False,False,True,True,True,,0.1606
5,-4,8,2,26,-1.788854,1.6,-1.989872,0.201018,,0,nonpositive,nonpositive,realized,realized,False,False,False,False,True,True,,0.6902
5,-4,9,2,28,-1.788854,1.8,-1.894427,0.105573,,0,nonpositive,nonpositive,realized,realized,False,False,False,False,True,True,,0.3866
5,-4,10,2,30,-1.788854,2.0,-1.788854,-0.0,,0,nonpositive,nonpositive,realized,realized,False,False,False,False,True,True,,0.2395
5,-4,11,2,32,-1.788854,2.2,-1.669024,-0.119831,,0,nonpositive,nonpositive,realized,realized,False,False,False,True,True,True,,0.3809
5,-4,12,2,34,-1.788854,2.4,-1.526883,-0.261972,,0,nonpositive,nonpositive,realized,realized,False,False,False,True,True,True,,0.3601
5,-4,13,2,36,-1.788854,2.6,-1.341641,-0.447214,,0,nonpositive,nonpositive,realized,realized,False,False,False,True,True,True,,0.41
5,-4,14,2,38,-1.788854,2.8,-0.894427,-0.894427,2,0,nonpositive,nonpositive,realized,realized,False,False,True,True,True,True,,0.4024
5,-3,4,3,25,-1.341641,0.8,-1.955344,0.613703,,0,nonpositive,nonpositive,realized,realized,False,False,False,False,True,True,,1.1946
5,-3,5,3,27,-1.341641,1.0,-1.87498,0.533339,,0,nonpositive,nonpositive,realized,realized,False,False,False,False,True,True,,0.6203
5,-3,6,3,29,-1.341641,1.2,-1.788854,0.447214,,0,nonpositive,nonpositive,realized,realized,False,False,False,False,True,True,,0.5062
5,-3,7,3,31,-1.341641,1.4,-1.695515,0.353875,,0,nonpositive,nonpositive,realized,realized,False,False,False,False,True,True,,0.2243
5,-3,8,3,33,-1.341641,1.6,-1.592775,0.251134,,0,nonpositive,nonpositive,realized,realized,False,False,False,False,True,True,,0.223
5,-3,9,3,35,-1.341641,1.8,-1.477046,0.135405,,0,nonpositive,nonpositive,realized,realized,False,False,False,False,True,True,,0.1845
5,-3,10,3,37,-1.341641,2.0,-1.341641,-0.0,,0,nonpositive,nonpositive,realized,realized,False,False,False,False,True,True,,0.5465
5,-3,11,3,39,-1.341641,2.2,-1.17082,-0.17082,,0,nonpositive,nonpositive,realized,realized,False,False,False,True,True,True,,0.4128
5,-2,0,4,22,-0.894427,0.0,-1.930453,1.036026,,,nonpositive,nonpositive,nonpositive,lemma,False,False,False,False,False,False,,
5,-2,1,4,24,-0.894427,0.2,-1.861427,0.967,,0,nonpositive,nonpositive,realized,realized,False,False,False,False,True,True,,1.5462
5,-2,2,4,26,-0.894427,0.4,-1.788854,0.894427,,0,nonpositive,nonpositive,realized,realized,False,False,False,False,True,True,,1.2065
5,-2,3,4,28,-0.894427,0.6,-1.712125,0.817697,,0,nonpositive,nonpositive,realized,realized,False,False,False,False,True,True,,0.773
5,-2,4,4,30,-0.894427,0.8,-1.63043,0.736002,,0,nonpositive,nonpositive,realized,realized,False,False,False,False,True,True,,0.3304
5,-2,5,4,32,-0.894427,1.0,-1.542659,0.648232,1,0,nonpositive,realized,realized,realized,False,False,False,False,True,True,1.4476,0.4348
5,-2,6,4,34,-0.894427,1.2,-1.447214,0.552786,1,0,nonpositive,realized,realized,realized,False,False,False,False,True,True,2.0,0.2296
5,-2,7,4,36,-0.894427,1.4,-1.341641,0.447214,1,0,nonpositive,realized,realized,realized,False,False,False,False,True,True,1.8825,0.7569
5,-2,8,4,38,-0.894427,1.6,-1.22181,0.327383,1,0,nonpositive,realized,realized,realized,False,False,False,False,True,True,2.4766,0.31
5,-2,9,4,40,-0.894427,1.8,-1.079669,0.185242,1,0,nonpositive,realized,realized,realized,False,False,False,False,True,True,4.2314,0.4395
5,-2,10,4,42,-0.894427,2.0,-0.894427,-0.0,2,0,nonpositive,cap,realized,realized,False,False,True,False,True,True,,0.5588
5,-2,11,4,44,-0.894427,2.2,-0.447214,-0.447214,2,0,nonpositive,cap,realized,realized,False,False,True,True,True,True,,0.7489
